,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_month[18],-2.9083,0.2844,-3.4676,-2.4141,0.0186,0.0082,234.1368,568.5638,1.0059
alpha_month[19],-2.9834,0.3117,-3.5498,-2.4254,0.0209,0.0097,220.6808,509.6643,1.0067
alpha_month[20],-2.816,0.2767,-3.2775,-2.2438,0.0204,0.0079,182.521,481.6451,1.0108
alpha_month[21],-3.1318,0.3129,-3.6883,-2.5233,0.0211,0.0104,218.6616,480.7379,1.0065
alpha_month[22],-2.947,0.3142,-3.5696,-2.3904,0.0223,0.011,196.1159,410.5972,1.0081
alpha_month[23],-3.4245,0.3591,-4.0882,-2.7274,0.0211,0.0127,289.7909,422.6146,1.0051
alpha_month[24],-3.7786,0.4207,-4.5635,-2.9973,0.0218,0.0138,378.7828,423.9763,1.003
alpha_month[25],-3.156,0.3323,-3.7065,-2.4998,0.0194,0.013,286.4019,423.0809,1.0088
alpha_month[26],-3.5917,0.4119,-4.3655,-2.8369,0.0244,0.0151,279.9087,474.8785,1.0085
alpha_month[27],-2.6353,0.2945,-3.22,-2.0866,0.0174,0.0103,289.6803,408.6416,1.0054
alpha_month[28],-3.6679,0.4151,-4.4428,-2.9281,0.0217,0.0156,363.4748,411.6515,1.0041
alpha_month[29],-2.8547,0.3337,-3.4694,-2.2007,0.0242,0.0107,187.624,520.3527,1.0099
alpha_month[30],-2.9691,0.3467,-3.5363,-2.3024,0.0178,0.0104,376.0459,523.695,1.0046
alpha_month[31],-3.3421,0.402,-4.104,-2.6272,0.0224,0.0116,330.9983,720.4034,1.0062
alpha_month[32],-2.7129,0.337,-3.3294,-2.0846,0.0197,0.0108,304.3804,548.5045,1.0069
alpha_month[33],-3.5314,0.4567,-4.4183,-2.7137,0.0192,0.0195,593.4958,482.3712,1.0019
alpha_month[34],-2.7655,0.3782,-3.4345,-2.1037,0.0195,0.0138,378.8947,648.4176,1.0099
alpha_month[35],-3.8402,0.5235,-4.9039,-2.9611,0.018,0.0185,827.4915,600.6925,1.0066
alpha_month[36],-1.5592,0.277,-2.0593,-1.0488,0.0192,0.01,208.9064,443.9472,1.0084
u_grade[A],-2.4102,0.3997,-3.1991,-1.7091,0.0336,0.0178,142.6904,293.1353,1.0178
u_grade[B],-1.3869,0.3857,-2.0694,-0.6441,0.0309,0.0173,154.2601,318.7002,1.0168
u_grade[C],-0.8956,0.3263,-1.5313,-0.3238,0.0253,0.0132,166.639,312.6886,1.016
u_grade[D],-0.6209,0.3483,-1.2542,0.052,0.0206,0.0117,290.7915,529.7778,1.0059
u_grade[E],-0.4062,0.3828,-1.0885,0.3731,0.023,0.0123,276.7927,468.4826,1.0019
u_grade[F],-0.234,0.4392,-1.0987,0.5192,0.0226,0.013,379.3565,428.4516,1.0016
u_grade[G],-0.3491,0.5585,-1.5112,0.5943,0.0247,0.0177,514.219,659.0534,0.9996
